iter	MultiClass
0	3.663165832
1	3.594540301
2	3.520018754
3	3.419924051
4	3.372040363
5	3.327608183
6	3.275525358
7	3.182984809
8	3.135613288
9	3.096609997
10	3.068436012
11	3.01544326
12	2.983596528
13	2.904341398
14	2.862438598
15	2.833283202
16	2.798213215
17	2.760326986
18	2.723820773
19	2.697661544
20	2.672159024
21	2.618840635
22	2.571800038
23	2.502103417
24	2.428469869
25	2.381063233
26	2.35233638
27	2.299827105
28	2.262254886
29	2.229104791
30	2.202502407
31	2.176014185
32	2.15456854
33	2.120623848
34	2.102311109
35	2.069427674
36	2.050960617
37	2.035272912
38	2.003108798
39	1.984125358
40	1.966435638
41	1.951445409
42	1.933032876
43	1.916432599
44	1.864980654
45	1.809078688
46	1.786153612
47	1.772225032
48	1.757799846
49	1.741506999
50	1.72849079
51	1.68962523
52	1.672999732
53	1.631998254
54	1.620493911
55	1.609584428
56	1.598510069
57	1.575184525
58	1.560530858
59	1.55034043
60	1.538961183
61	1.529503127
62	1.500209527
63	1.490061449
64	1.474764927
65	1.464587272
66	1.433417957
67	1.424203789
68	1.412638025
69	1.404134131
70	1.383327271
71	1.375738445
72	1.368165154
73	1.345291987
74	1.336906036
75	1.321281542
76	1.304745288
77	1.294039734
78	1.268999466
79	1.26138551
80	1.246895484
81	1.232213892
82	1.225084668
83	1.214721757
84	1.207836623
85	1.201423437
86	1.176994605
87	1.157182964
88	1.13614978
89	1.12959851
90	1.123801579
91	1.110126338
92	1.10151953
93	1.095382285
94	1.089103646
95	1.070977483
96	1.063725692
97	1.049143819
98	1.029877357
99	1.024243701
