iter	Passed	Remaining
0	72	7151
1	86	4224
2	99	3210
3	111	2668
4	123	2337
5	135	2117
6	147	1955
7	158	1823
8	171	1733
9	182	1646
10	194	1571
11	206	1510
12	217	1458
13	230	1413
14	242	1371
15	253	1331
16	266	1299
17	278	1268
18	290	1238
19	302	1210
20	313	1180
21	325	1152
22	336	1127
23	348	1103
24	359	1077
25	371	1056
26	382	1034
27	394	1014
28	406	995
29	418	975
30	430	957
31	441	938
32	453	921
33	465	903
34	477	886
35	488	868
36	500	852
37	512	835
38	524	820
39	536	804
40	548	788
41	559	773
42	571	758
43	583	742
44	595	728
45	606	711
46	618	697
47	630	683
48	642	668
49	655	655
50	668	641
51	680	627
52	691	613
53	703	599
54	715	585
55	727	571
56	738	556
57	749	542
58	761	529
59	772	514
60	784	501
61	795	487
62	807	474
63	819	461
64	831	447
65	843	434
66	855	421
67	867	408
68	879	395
69	892	382
70	904	369
71	916	356
72	927	343
73	939	330
74	950	316
75	963	304
76	975	291
77	987	278
78	998	265
79	1011	252
80	1022	239
81	1034	227
82	1045	214
83	1056	201
84	1069	188
85	1081	176
86	1092	163
87	1104	150
88	1116	138
89	1128	125
90	1140	112
91	1151	100
92	1164	87
93	1175	75
94	1187	62
95	1198	49
96	1210	37
97	1222	24
98	1234	12
99	1245	0
